 SITE CODE= 532小千谷市城内              
 LAT.=   37.3130
 LON.=  138.7916
 SAMPLING RATE= 100Hz 
 UNIT  = gal(cm/s/s) 
INITIAL TIME = 2004 10 23 17 55 50
 NS,EW,UD
-0.005,0.001,0.016
-0.026,-0.002,0.000
-0.023,-0.006,0.003
-0.008,0.004,-0.002
0.006,-0.003,-0.003
0.010,-0.001,0.002
0.020,0.003,0.004
0.031,0.001,0.010
0.014,0.002,0.002
-0.009,-0.001,0.001
-0.028,0.003,-0.006
-0.032,-0.006,-0.004
-0.026,-0.016,-0.002
0.004,-0.021,0.007
0.024,-0.002,0.007
0.031,0.014,-0.005
0.031,0.019,0.003
0.003,0.020,-0.002
-0.020,0.010,-0.004
-0.021,0.008,-0.002
-0.012,-0.014,0.004
-0.012,-0.014,-0.001
0.004,0.000,-0.008
0.015,-0.007,0.004
0.010,-0.015,0.009
0.004,-0.008,0.005
0.000,0.004,-0.002
0.008,0.004,-0.011
0.002,0.007,-0.013
-0.011,0.012,0.005
-0.010,0.014,0.022
-0.013,-0.001,0.015
-0.025,-0.012,0.000
-0.016,-0.013,-0.002
0.002,-0.006,-0.002
0.011,0.009,0.000
0.013,0.009,0.005
0.004,0.004,0.002
0.002,0.000,0.007
-0.004,-0.001,0.009
-0.006,-0.006,0.000
-0.004,-0.005,-0.005
0.004,-0.010,-0.003
0.006,-0.016,-0.003
-0.006,-0.007,-0.007
-0.012,-0.005,-0.003
-0.018,0.009,0.007
-0.012,0.020,0.013
-0.001,0.009,0.004
0.004,0.004,-0.007
0.021,0.007,-0.012
0.029,-0.002,-0.007
0.007,-0.010,0.004
-0.014,-0.003,0.017
-0.016,0.011,0.010
-0.007,0.007,-0.008
-0.006,0.000,-0.003
-0.008,0.001,-0.001
0.009,-0.007,0.002
0.016,-0.011,0.002
0.004,-0.021,-0.007
0.005,-0.006,0.002
0.009,0.001,0.010
0.002,-0.004,-0.001
-0.006,0.020,-0.011
-0.013,0.023,-0.007
-0.019,0.020,0.000
-0.011,0.000,0.010
-0.005,-0.008,0.014
0.003,-0.025,0.006
0.009,-0.033,0.003
0.005,0.003,0.000
0.005,-0.001,-0.002
-0.015,0.021,-0.004
-0.019,0.024,-0.002
0.005,-0.003,0.004
0.016,-0.005,0.001
0.005,-0.032,0.000
-0.005,-0.005,0.002
0.008,0.015,-0.001
0.001,0.004,0.000
-0.003,0.017,-0.002
0.005,-0.008,0.000
-0.001,-0.007,0.008
0.001,-0.005,0.004
-0.025,-0.014,-0.009
-0.024,0.020,-0.010
0.002,0.008,0.001
0.011,-0.008,0.005
0.027,-0.007,0.012
0.023,-0.022,0.014
0.028,0.009,-0.003
0.013,0.033,-0.020
-0.025,0.019,-0.017
-0.031,0.016,0.004
-0.036,-0.007,0.017
-0.023,-0.036,0.018
-0.002,-0.037,0.013
0.005,-0.014,-0.007
0.035,0.016,-0.015
0.044,0.023,-0.007
0.035,0.021,-0.001
0.021,0.021,0.010
-0.019,-0.001,0.013
-0.025,-0.010,0.002
-0.023,-0.010,0.002
-0.038,-0.015,0.003
-0.005,0.000,0.005
0.035,0.004,0.002
0.039,-0.011,-0.007
0.014,-0.009,0.004
-0.009,-0.013,0.012
-0.010,-0.008,0.007
-0.023,0.014,0.002
-0.031,0.020,0.004
-0.004,0.014,0.003
0.020,-0.010,-0.010
0.020,-0.027,-0.011
0.015,-0.011,-0.004
0.009,0.010,-0.002
-0.010,0.014,0.000
-0.019,0.008,0.005
-0.021,-0.002,0.009
-0.015,-0.011,0.003
0.004,-0.020,-0.004
0.005,-0.008,-0.004
0.007,0.016,0.004
0.021,0.021,0.000
0.037,0.003,-0.007
0.026,-0.020,0.001
-0.012,-0.019,0.012
-0.007,-0.009,0.013
-0.001,0.001,0.001
