-0.005,-0.015,-0.008
-0.011,-0.011,-0.009
0.021,0.001,0.014
0.005,-0.011,-0.002
-0.014,-0.004,-0.003
0.014,-0.010,0.008
-0.001,-0.003,-0.009
0.001,0.002,-0.002
0.015,-0.014,0.010
0.002,0.006,0.005
0.005,0.009,-0.003
0.002,-0.002,-0.012
-0.003,0.000,-0.011
-0.005,0.002,-0.008
-0.010,0.017,0.002
0.000,0.007,0.006
0.005,-0.007,0.004
-0.003,0.013,0.013
0.002,0.008,0.002
0.000,-0.004,-0.013
-0.011,0.001,-0.007
-0.006,0.001,-0.005
-0.007,0.006,0.000
-0.008,-0.008,0.005
-0.006,-0.009,0.004
0.002,0.006,-0.003
0.011,0.000,-0.018
-0.006,0.006,-0.003
0.000,0.012,0.025
0.007,0.006,0.013
-0.004,-0.003,-0.008
0.008,-0.022,-0.018
-0.003,-0.012,-0.012
-0.011,0.006,0.005
0.006,-0.016,0.009
0.004,-0.018,0.009
0.011,0.005,0.004
0.007,0.005,-0.002
-0.002,0.002,-0.008
0.008,-0.004,-0.004
0.004,0.001,0.003
0.007,0.007,-0.002
0.004,-0.014,-0.004
-0.005,-0.006,0.004
0.007,0.011,0.006
-0.001,0.000,-0.006
-0.004,-0.004,-0.003
-0.007,-0.002,0.002
-0.015,0.009,0.002
0.006,0.007,0.020
0.007,-0.010,0.014
0.000,0.001,-0.003
0.000,0.005,-0.004
-0.011,0.008,-0.004
-0.006,0.009,-0.002
-0.013,0.000,-0.004
-0.006,0.007,0.010
0.005,-0.007,0.015
-0.010,-0.022,0.002
0.000,0.000,0.016
0.010,0.012,0.013
-0.004,0.005,-0.004
0.001,0.004,0.005
0.008,0.003,0.006
0.001,0.001,-0.003
0.007,-0.007,-0.006
0.018,-0.007,0.003
0.002,0.014,0.005
-0.011,0.004,-0.002
-0.004,-0.012,0.013
0.001,0.001,0.021
0.002,-0.013,0.002
0.003,-0.003,-0.003
0.014,-0.003,0.004
0.011,-0.019,-0.005
-0.004,0.013,-0.009
