1.545,0.047,0.164
1.587,0.203,0.116
1.605,0.350,0.061
1.605,0.463,0.014
1.584,0.530,-0.013
1.534,0.549,-0.014
1.461,0.523,0.006
1.384,0.465,0.030
1.339,0.401,0.034
1.350,0.367,0.013
1.414,0.387,-0.023
1.504,0.470,-0.056
1.592,0.595,-0.068
1.663,0.731,-0.057
1.717,0.855,-0.029
1.749,0.958,0.003
1.744,1.049,0.027
1.689,1.132,0.036
1.579,1.203,0.037
1.435,1.252,0.039
1.277,1.279,0.043
1.120,1.296,0.037
0.963,1.320,0.010
0.813,1.360,-0.039
0.683,1.405,-0.094
0.589,1.439,-0.141
0.537,1.450,-0.176
0.518,1.436,-0.204
0.517,1.391,-0.223
0.511,1.309,-0.228
0.470,1.188,-0.214
0.369,1.036,-0.190
0.203,0.876,-0.163
-0.003,0.724,-0.135
-0.212,0.586,-0.102
-0.394,0.460,-0.068
-0.542,0.355,-0.050
-0.661,0.285,-0.057
-0.747,0.250,-0.083
-0.787,0.237,-0.107
-0.776,0.227,-0.119
-0.738,0.218,-0.121
-0.715,0.218,-0.118
-0.738,0.224,-0.108
-0.806,0.210,-0.080
-0.899,0.150,-0.037
-1.002,0.049,0.000
-1.121,-0.063,0.007
-1.255,-0.161,-0.018
-1.388,-0.241,-0.059
-1.495,-0.312,-0.087
-1.555,-0.366,-0.091
-1.581,-0.384,-0.077
-1.591,-0.350,-0.061
-1.594,-0.283,-0.052
-1.583,-0.216,-0.049
-1.553,-0.175,-0.048
-1.513,-0.159,-0.044
-1.484,-0.158,-0.037
-1.477,-0.161,-0.025
-1.486,-0.165,-0.006
-1.493,-0.168,0.012
-1.491,-0.170,0.025
-1.482,-0.176,0.033
-1.475,-0.196,0.043
-1.477,-0.235,0.063
-1.493,-0.289,0.091
-1.525,-0.349,0.116
-1.568,-0.414,0.132
-1.606,-0.490,0.137
-1.623,-0.574,0.139
-1.620,-0.653,0.137
-1.621,-0.705,0.120
-1.647,-0.721,0.082
-1.691,-0.712,0.029
-1.725,-0.696,-0.013
-1.726,-0.681,-0.021
-1.700,-0.666,0.015
-1.679,-0.646,0.080
-1.680,-0.619,0.144
-1.684,-0.585,0.184
-1.645,-0.539,0.193
-1.534,-0.476,0.185
-1.363,-0.403,0.177
-1.170,-0.342,0.172
-0.988,-0.318,0.164
-0.824,-0.336,0.141
-0.675,-0.384,0.100
-0.548,-0.440,0.055
-0.462,-0.492,0.021
-0.431,-0.543,0.010
-0.445,-0.599,0.014
-0.480,-0.665,0.020
-0.515,-0.742,0.014
-0.543,-0.830,-0.006
-0.561,-0.922,-0.039
-0.563,-1.001,-0.072
-0.538,-1.051,-0.094
-0.479,-1.067,-0.095
-0.387,-1.061,-0.075
-0.275,-1.042,-0.042
-0.153,-1.002,-0.009
-0.030,-0.923,0.014
0.080,-0.801,0.027
0.176,-0.657,0.028
0.260,-0.521,0.020
0.341,-0.399,0.007
0.419,-0.278,-0.007
0.489,-0.142,-0.013
0.544,-0.007,-0.008
0.588,0.097,0.007
0.631,0.156,0.029
0.678,0.182,0.050
0.717,0.202,0.072
0.742,0.226,0.095
0.763,0.245,0.113
0.808,0.255,0.115
0.893,0.269,0.095
1.004,0.310,0.061
1.107,0.375,0.030
1.174,0.435,0.014
1.205,0.461,0.009
1.222,0.458,0.003
1.251,0.453,-0.011
1.301,0.476,-0.032
1.370,0.521,-0.046
1.452,0.558,-0.039
1.544,0.556,-0.006
1.636,0.507,0.044
1.709,0.428,0.107
1.744,0.337,0.171
1.737,0.243,0.225
1.695,0.145,0.255
1.642,0.051,0.256
1.594,-0.021,0.230
1.559,-0.057,0.192
1.541,-0.044,0.156
1.550,0.012,0.130
1.593,0.100,0.112
1.665,0.200,0.093
1.745,0.302,0.060
1.803,0.398,0.009
1.822,0.485,-0.057
1.808,0.562,-0.128
1.775,0.626,-0.182
1.731,0.673,-0.204
1.672,0.702,-0.191
1.593,0.717,-0.153
1.494,0.724,-0.101
1.381,0.729,-0.043
1.259,0.719,0.010
1.140,0.679,0.046
1.038,0.603,0.047
0.963,0.512,0.012
0.915,0.436,-0.039
0.876,0.393,-0.080
0.832,0.364,-0.093
0.776,0.319,-0.094
0.712,0.241,-0.110
0.639,0.145,-0.155
0.552,0.070,-0.207
0.453,0.035,-0.228
0.362,0.037,-0.190
0.304,0.058,-0.106
0.291,0.085,-0.018
0.308,0.123,0.033
0.328,0.174,0.034
0.336,0.227,0.006
0.328,0.257,-0.022
0.301,0.242,-0.033
0.246,0.176,-0.029
0.161,0.078,-0.021
0.060,-0.016,-0.014
-0.026,-0.082,-0.006
-0.080,-0.110,0.005
-0.115,-0.114,0.019
-0.159,-0.107,0.025
-0.231,-0.089,0.017
-0.325,-0.050,-0.010
-0.423,0.012,-0.048
-0.514,0.072,-0.082
-0.599,0.088,-0.095
-0.684,0.041,-0.080
-0.759,-0.048,-0.040
-0.813,-0.139,0.002
-0.841,-0.211,0.025
-0.852,-0.269,0.021
-0.855,-0.333,0.004
-0.863,-0.390,-0.005
-0.883,-0.412,0.006
-0.929,-0.370,0.029
-1.008,-0.273,0.037
-1.113,-0.162,0.020
-1.212,-0.082,-0.012
-1.275,-0.053,-0.034
-1.293,-0.068,-0.030
-1.273,-0.103,-0.004
-1.230,-0.136,0.025
-1.172,-0.147,0.046
-1.109,-0.135,0.055
-1.065,-0.104,0.061
-1.070,-0.061,0.067
-1.137,-0.014,0.066
-1.250,0.032,0.054
-1.377,0.075,0.029
-1.493,0.111,-0.005
-1.580,0.139,-0.045
-1.632,0.153,-0.087
-1.637,0.148,-0.125
-1.597,0.117,-0.152
-1.539,0.059,-0.163
-1.500,-0.022,-0.167
-1.505,-0.116,-0.176
-1.543,-0.211,-0.203
-1.581,-0.293,-0.246
-1.597,-0.341,-0.297
-1.596,-0.341,-0.341
-1.590,-0.292,-0.375
-1.584,-0.221,-0.396
-1.562,-0.155,-0.400
-1.504,-0.115,-0.372
-1.411,-0.100,-0.305
-1.299,-0.104,-0.208
-1.191,-0.122,-0.107
-1.088,-0.148,-0.026
-0.979,-0.173,0.025
-0.847,-0.182,0.056
-0.690,-0.161,0.080
-0.522,-0.111,0.104
-0.362,-0.041,0.121
-0.221,0.030,0.124
-0.106,0.085,0.115
-0.023,0.110,0.104
0.013,0.101,0.105
-0.005,0.066,0.120
-0.074,0.016,0.144
-0.166,-0.045,0.167
-0.251,-0.120,0.176
-0.312,-0.197,0.168
-0.346,-0.259,0.144
-0.355,-0.295,0.120
-0.336,-0.319,0.104
-0.279,-0.354,0.102
-0.191,-0.407,0.102
-0.092,-0.455,0.092
-0.004,-0.471,0.070
0.064,-0.454,0.052
0.121,-0.428,0.048
0.180,-0.417,0.052
0.244,-0.417,0.042
0.306,-0.407,0.012
0.359,-0.373,-0.016
0.399,-0.326,-0.021
0.426,-0.280,-0.001
0.444,-0.228,0.014
0.462,-0.146,-0.001
0.490,-0.031,-0.037
0.537,0.088,-0.059
0.602,0.177,-0.045
0.673,0.225,-0.011
0.738,0.254,0.009
0.793,0.288,0.004
0.844,0.320,-0.007
0.892,0.318,-0.001
0.925,0.269,0.019
0.929,0.199,0.023
0.900,0.154,-0.004
0.852,0.150,-0.048
0.808,0.164,-0.071
0.786,0.159,-0.060
0.789,0.125,-0.034
0.810,0.084,-0.026
0.848,0.053,-0.042
0.903,0.028,-0.065
0.974,-0.003,-0.071
1.052,-0.041,-0.064
1.127,-0.060,-0.060
1.195,-0.035,-0.071
1.261,0.030,-0.086
1.325,0.110,-0.078
1.384,0.175,-0.037
1.432,0.216,0.021
1.466,0.248,0.073
1.486,0.287,0.095
1.499,0.342,0.082
1.512,0.410,0.048
1.534,0.478,0.010
1.566,0.536,-0.018
1.593,0.577,-0.027
1.589,0.598,-0.020
1.531,0.598,-0.005
1.416,0.570,0.001
1.269,0.507,-0.005
1.117,0.411,-0.025
0.977,0.301,-0.040
0.843,0.212,-0.041
0.717,0.169,-0.030
0.612,0.171,-0.020
0.547,0.191,-0.023
0.517,0.196,-0.042
0.495,0.178,-0.068
0.444,0.148,-0.093
0.357,0.123,-0.112
0.260,0.112,-0.126
0.195,0.115,-0.127
0.176,0.131,-0.108
0.190,0.160,-0.070
0.215,0.204,-0.020
0.239,0.257,0.034
0.266,0.310,0.088
0.288,0.344,0.136
0.288,0.348,0.161
0.250,0.320,0.154
0.187,0.264,0.122
0.126,0.193,0.093
0.090,0.122,0.098
0.073,0.063,0.138
0.058,0.029,0.189
0.042,0.027,0.221
0.036,0.051,0.220
0.048,0.091,0.196
0.062,0.131,0.163
0.045,0.165,0.134
-0.018,0.190,0.110
-0.119,0.209,0.092
-0.231,0.215,0.076
-0.346,0.203,0.058
-0.469,0.178,0.033
-0.602,0.150,0.007
-0.729,0.124,-0.006
-0.827,0.097,-0.005
-0.883,0.059,0.002
-0.903,0.011,-0.001
-0.903,-0.038,-0.025
-0.892,-0.075,-0.064
-0.867,-0.096,-0.108
-0.821,-0.108,-0.146
-0.754,-0.127,-0.174
-0.676,-0.157,-0.189
-0.606,-0.198,-0.189
-0.565,-0.239,-0.181
-0.566,-0.275,-0.175
-0.614,-0.309,-0.173
-0.703,-0.349,-0.165
-0.819,-0.402,-0.141
-0.948,-0.466,-0.102
-1.073,-0.531,-0.062
-1.172,-0.583,-0.035
-1.231,-0.612,-0.019
-1.245,-0.613,-0.001
-1.224,-0.589,0.030
-1.182,-0.546,0.071
-1.134,-0.496,0.118
-1.090,-0.455,0.161
-1.056,-0.435,0.196
-1.035,-0.443,0.209
-1.026,-0.475,0.193
-1.020,-0.523,0.155
-1.014,-0.581,0.116
-1.002,-0.645,0.099
-0.980,-0.709,0.100
-0.944,-0.769,0.102
-0.893,-0.822,0.090
-0.831,-0.867,0.068
-0.768,-0.898,0.052
-0.706,-0.907,0.054
-0.638,-0.878,0.070
-0.549,-0.804,0.088
-0.439,-0.679,0.103
-0.324,-0.509,0.115
-0.231,-0.304,0.122
-0.182,-0.087,0.115
-0.182,0.107,0.082
-0.218,0.240,0.023
-0.269,0.291,-0.050
-0.319,0.271,-0.116
-0.359,0.214,-0.157
-0.383,0.154,-0.161
-0.389,0.106,-0.129
-0.378,0.066,-0.070
-0.347,0.027,-0.002
-0.306,-0.013,0.056
-0.276,-0.051,0.090
-0.275,-0.084,0.091
-0.308,-0.114,0.067
-0.358,-0.151,0.035
-0.394,-0.202,0.019
-0.393,-0.267,0.030
-0.349,-0.337,0.065
-0.271,-0.391,0.109
-0.176,-0.410,0.148
-0.076,-0.382,0.186
0.020,-0.313,0.228
0.111,-0.221,0.277
0.204,-0.118,0.317
0.305,-0.007,0.331
0.416,0.118,0.313
0.526,0.262,0.275
0.618,0.413,0.237
0.689,0.542,0.211
0.742,0.626,0.196
0.785,0.656,0.184
0.815,0.644,0.177
0.824,0.614,0.174
0.810,0.582,0.171
0.776,0.563,0.153
0.730,0.563,0.112
0.685,0.589,0.057
0.655,0.642,0.007
0.653,0.713,-0.020
0.676,0.784,-0.037
0.708,0.832,-0.064
0.722,0.842,-0.109
0.712,0.806,-0.154
0.697,0.729,-0.169
0.708,0.626,-0.141
0.755,0.522,-0.089
0.825,0.442,-0.046
0.899,0.398,-0.026
0.966,0.387,-0.020
1.024,0.394,-0.018
1.062,0.402,-0.019
1.058,0.400,-0.033
0.996,0.386,-0.061
0.884,0.362,-0.091
0.753,0.329,-0.108
0.631,0.291,-0.111
0.530,0.254,-0.107
0.450,0.223,-0.100
0.395,0.206,-0.081
0.372,0.207,-0.046
0.381,0.225,-0.007
0.399,0.256,0.015
0.396,0.293,0.011
0.354,0.333,-0.007
0.288,0.372,-0.022
0.225,0.409,-0.026
0.187,0.439,-0.032
0.164,0.458,-0.055
0.139,0.463,-0.094
0.102,0.457,-0.132
0.063,0.433,-0.149
0.041,0.379,-0.149
0.036,0.286,-0.148
0.032,0.155,-0.158
0.011,0.005,-0.179
-0.025,-0.142,-0.193
-0.061,-0.275,-0.186
-0.076,-0.394,-0.158
-0.056,-0.499,-0.123
-0.007,-0.575,-0.097
0.050,-0.603,-0.084
0.092,-0.568,-0.080
0.095,-0.479,-0.078
0.056,-0.362,-0.073
-0.011,-0.252,-0.061
-0.089,-0.168,-0.040
-0.162,-0.108,-0.016
-0.225,-0.057,0.001
-0.266,-0.004,0.009
-0.267,0.036,0.012
-0.219,0.037,0.012
-0.141,-0.014,0.005
-0.074,-0.104,-0.016
-0.050,-0.193,-0.059
-0.068,-0.252,-0.113
-0.102,-0.276,-0.164
-0.132,-0.280,-0.201
-0.158,-0.273,-0.223
-0.188,-0.255,-0.234
-0.223,-0.225,-0.235
-0.253,-0.198,-0.224
-0.274,-0.191,-0.203
-0.299,-0.208,-0.178
-0.340,-0.239,-0.153
-0.393,-0.280,-0.125
-0.432,-0.343,-0.091
-0.432,-0.436,-0.064
-0.393,-0.546,-0.061
-0.336,-0.633,-0.086
-0.286,-0.667,-0.116
-0.257,-0.654,-0.114
-0.247,-0.620,-0.064
-0.250,-0.581,0.019
-0.262,-0.518,0.103
-0.286,-0.413,0.168
-0.320,-0.273,0.211
-0.363,-0.135,0.239
-0.412,-0.032,0.257
-0.464,0.032,0.265
-0.508,0.084,0.267
-0.533,0.128,0.269
-0.528,0.157,0.273
-0.492,0.162,0.264
-0.431,0.163,0.234
-0.346,0.186,0.187
-0.227,0.234,0.151
-0.064,0.278,0.148
0.136,0.284,0.177
0.343,0.250,0.205
0.517,0.208,0.198
0.631,0.186,0.150
0.684,0.175,0.085
0.692,0.141,0.039
0.671,0.066,0.029
0.621,-0.020,0.036
0.549,-0.080,0.039
0.470,-0.089,0.036
0.405,-0.062,0.036
0.367,-0.027,0.048
0.351,0.000,0.060
0.345,0.028,0.052
0.333,0.065,0.021
0.306,0.107,-0.017
0.264,0.138,-0.049
0.206,0.153,-0.069
0.137,0.161,-0.087
0.056,0.174,-0.111
-0.038,0.189,-0.137
-0.144,0.193,-0.161
-0.254,0.176,-0.185
-0.352,0.148,-0.217
-0.428,0.130,-0.257
-0.485,0.131,-0.289
-0.538,0.143,-0.301
-0.595,0.149,-0.299
-0.655,0.143,-0.299
-0.710,0.137,-0.310
-0.757,0.142,-0.321
-0.795,0.157,-0.307
-0.817,0.161,-0.258
-0.805,0.136,-0.189
-0.750,0.087,-0.122
-0.664,0.031,-0.070
-0.576,-0.014,-0.025
-0.511,-0.053,0.022
-0.478,-0.095,0.067
-0.468,-0.137,0.093
-0.475,-0.161,0.093
-0.499,-0.148,0.081
-0.539,-0.100,0.076
-0.577,-0.037,0.082
-0.601,0.024,0.088
-0.606,0.085,0.078
-0.611,0.146,0.054
-0.628,0.196,0.029
-0.657,0.219,0.015
-0.678,0.203,0.014
-0.676,0.160,0.018
-0.655,0.111,0.017
-0.621,0.074,0.014
-0.574,0.057,0.012
-0.500,0.050,0.018
-0.391,0.040,0.031
-0.264,0.014,0.050
-0.156,-0.034,0.070
-0.091,-0.105,0.079
-0.067,-0.185,0.071
-0.058,-0.259,0.050
-0.046,-0.325,0.032
-0.030,-0.390,0.028
-0.019,-0.458,0.036
-0.014,-0.518,0.043
-0.009,-0.555,0.039
-0.002,-0.564,0.025
-0.005,-0.563,0.012
-0.036,-0.573,0.008
-0.098,-0.595,0.011
-0.185,-0.605,0.013
-0.289,-0.580,0.009
-0.409,-0.516,0.002
-0.535,-0.442,-0.002
-0.634,-0.385,0.002
-0.665,-0.352,0.021
-0.612,-0.330,0.055
-0.499,-0.303,0.091
-0.365,-0.269,0.113
-0.226,-0.233,0.107
-0.066,-0.194,0.077
0.127,-0.143,0.041
0.333,-0.071,0.018
0.499,0.015,0.018
0.593,0.097,0.031
0.625,0.157,0.039
0.635,0.189,0.024
0.647,0.200,-0.014
0.662,0.196,-0.060
0.672,0.182,-0.086
0.690,0.158,-0.077
0.736,0.130,-0.039
0.815,0.106,0.002
0.916,0.092,0.027
1.020,0.087,0.036
1.124,0.087,0.046
1.234,0.089,0.068
1.343,0.092,0.102
1.432,0.090,0.132
1.484,0.083,0.147
1.504,0.073,0.140
1.503,0.071,0.111
1.491,0.082,0.062
1.458,0.099,0.011
1.393,0.107,-0.018
1.292,0.090,-0.009
1.175,0.055,0.027
1.062,0.014,0.053
0.974,-0.020,0.031
0.918,-0.051,-0.040
0.891,-0.084,-0.130
0.884,-0.118,-0.202
0.887,-0.141,-0.237
0.895,-0.141,-0.247
0.899,-0.120,-0.248
0.886,-0.093,-0.246
0.842,-0.073,-0.236
0.763,-0.060,-0.215
0.663,-0.046,-0.188
0.565,-0.019,-0.164
0.481,0.020,-0.149
0.403,0.064,-0.146
0.317,0.095,-0.150
0.220,0.104,-0.156
0.121,0.097,-0.157
0.026,0.085,-0.148
-0.073,0.071,-0.133
-0.184,0.048,-0.119
-0.292,0.007,-0.112
-0.368,-0.037,-0.116
-0.397,-0.058,-0.126
-0.394,-0.034,-0.138
-0.389,0.023,-0.143
-0.400,0.080,-0.135
-0.423,0.114,-0.114
-0.439,0.133,-0.086
-0.446,0.166,-0.063
-0.450,0.228,-0.054
-0.453,0.294,-0.058
-0.433,0.328,-0.064
-0.369,0.309,-0.062
-0.264,0.248,-0.046
-0.139,0.176,-0.022
-0.026,0.111,-0.002
0.062,0.060,-0.001
0.132,0.025,-0.018
0.180,0.016,-0.048
0.202,0.038,-0.076
0.185,0.085,-0.093
0.136,0.141,-0.099
0.070,0.189,-0.103
0.000,0.227,-0.108
-0.085,0.247,-0.112
-0.194,0.240,-0.106
-0.326,0.193,-0.080
-0.461,0.108,-0.036
-0.574,0.012,0.019
-0.659,-0.066,0.074
-0.722,-0.115,0.126
-0.769,-0.138,0.177
-0.801,-0.143,0.232
-0.814,-0.126,0.288
-0.813,-0.084,0.326
-0.805,-0.027,0.335
-0.791,0.014,0.314
-0.767,0.019,0.287
-0.735,-0.013,0.278
-0.707,-0.065,0.296
-0.703,-0.116,0.327
-0.725,-0.162,0.353
-0.764,-0.198,0.368
-0.802,-0.212,0.375
-0.827,-0.184,0.380
-0.834,-0.112,0.376
-0.820,-0.019,0.355
-0.780,0.065,0.309
-0.719,0.126,0.249
-0.650,0.170,0.191
-0.587,0.209,0.148
-0.524,0.243,0.125
-0.451,0.262,0.117
-0.361,0.264,0.112
-0.264,0.264,0.098
-0.179,0.284,0.074
-0.116,0.330,0.048
-0.068,0.384,0.034
-0.033,0.418,0.033
-0.013,0.414,0.037
-0.015,0.372,0.037
-0.037,0.307,0.033
-0.064,0.233,0.027
-0.079,0.159,0.021
-0.070,0.093,0.011
-0.036,0.044,-0.010
0.018,0.023,-0.039
0.080,0.034,-0.064
0.130,0.074,-0.068
0.154,0.127,-0.051
0.148,0.180,-0.018
0.127,0.224,0.018
0.109,0.251,0.046
0.096,0.256,0.063
0.073,0.232,0.071
0.022,0.182,0.073
-0.046,0.115,0.075
-0.105,0.051,0.082
-0.120,0.008,0.091
-0.081,-0.010,0.098
-0.011,-0.011,0.099
0.054,-0.005,0.095
0.095,-0.001,0.091
0.112,-0.002,0.095
0.110,-0.006,0.110
0.087,-0.012,0.131
0.036,-0.023,0.144
-0.047,-0.038,0.136
-0.146,-0.054,0.102
-0.235,-0.065,0.060
-0.293,-0.066,0.035
-0.318,-0.061,0.041
-0.316,-0.056,0.071
-0.293,-0.062,0.096
-0.254,-0.074,0.093
-0.201,-0.084,0.050
-0.144,-0.088,-0.021
-0.095,-0.094,-0.103
-0.051,-0.109,-0.174
-0.006,-0.136,-0.214
0.048,-0.165,-0.219
0.110,-0.178,-0.205
0.169,-0.165,-0.193
0.212,-0.122,-0.194
0.239,-0.055,-0.202
0.259,0.018,-0.197
0.282,0.079,-0.177
0.314,0.119,-0.157
0.355,0.137,-0.158
0.401,0.147,-0.180
0.447,0.153,-0.202
0.488,0.146,-0.196
0.519,0.120,-0.160
0.532,0.077,-0.113
0.512,0.034,-0.081
0.448,0.006,-0.078
0.344,-0.008,-0.096
0.222,-0.021,-0.121
0.119,-0.045,-0.136
0.060,-0.082,-0.136
0.046,-0.133,-0.120
0.060,-0.189,-0.100
0.078,-0.237,-0.089
0.092,-0.264,-0.097
0.108,-0.264,-0.120
0.131,-0.247,-0.146
0.163,-0.230,-0.168
0.202,-0.218,-0.179
0.244,-0.203,-0.181
0.291,-0.177,-0.173
0.340,-0.150,-0.158
0.391,-0.147,-0.145
0.444,-0.180,-0.138
0.497,-0.232,-0.132
0.540,-0.268,-0.118
0.565,-0.267,-0.094
0.568,-0.235,-0.069
0.553,-0.192,-0.052
0.533,-0.152,-0.039
0.520,-0.116,-0.015
0.519,-0.082,0.026
0.533,-0.050,0.071
0.566,-0.027,0.095
0.617,-0.009,0.085
0.672,0.005,0.054
0.708,0.018,0.024
0.710,0.022,0.013
0.674,0.013,0.022
0.606,-0.002,0.050
0.514,-0.016,0.091
0.408,-0.018,0.137
0.306,-0.004,0.169
0.234,0.023,0.174
0.215,0.070,0.155
0.250,0.136,0.137
0.317,0.214,0.139
0.387,0.294,0.161
0.438,0.367,0.183
0.464,0.426,0.184
0.473,0.460,0.166
0.473,0.459,0.143
0.477,0.421,0.126
0.495,0.360,0.109
0.530,0.300,0.083
0.571,0.252,0.051
0.598,0.211,0.033
0.599,0.161,0.044
0.580,0.093,0.083
0.555,0.011,0.127
0.534,-0.066,0.156
0.515,-0.127,0.162
0.495,-0.161,0.152
0.471,-0.170,0.132
0.453,-0.164,0.111
0.441,-0.158,0.089
0.410,-0.169,0.073
0.323,-0.198,0.063
0.156,-0.231,0.058
-0.077,-0.253,0.044
-0.327,-0.266,0.013
-0.541,-0.288,-0.036
-0.691,-0.330,-0.091
-0.777,-0.378,-0.134
-0.812,-0.407,-0.149
-0.806,-0.398,-0.134
-0.770,-0.364,-0.100
-0.726,-0.333,-0.071
-0.703,-0.321,-0.068
-0.715,-0.321,-0.088
-0.754,-0.310,-0.114
-0.798,-0.278,-0.128
-0.828,-0.230,-0.128
-0.842,-0.178,-0.125
-0.845,-0.130,-0.124
-0.836,-0.082,-0.115
-0.816,-0.038,-0.087
-0.791,-0.009,-0.045
-0.776,-0.004,-0.012
-0.778,-0.019,-0.005
-0.785,-0.044,-0.031
-0.779,-0.074,-0.075
-0.749,-0.114,-0.121
-0.709,-0.168,-0.157
-0.690,-0.232,-0.171
-0.718,-0.288,-0.155
-0.800,-0.322,-0.112
-0.922,-0.337,-0.061
-1.062,-0.340,-0.030
-1.202,-0.333,-0.029
-1.331,-0.310,-0.045
-1.435,-0.273,-0.048
-1.504,-0.236,-0.026
-1.528,-0.224,0.011
-1.518,-0.243,0.036
-1.496,-0.275,0.026
-1.479,-0.298,-0.018
-1.464,-0.301,-0.079
-1.432,-0.294,-0.130
-1.368,-0.285,-0.152
-1.279,-0.268,-0.146
-1.189,-0.229,-0.122
-1.117,-0.166,-0.091
-1.067,-0.100,-0.066
-1.040,-0.062,-0.055
-1.033,-0.065,-0.061
-1.045,-0.099,-0.080
-1.067,-0.134,-0.102
-1.081,-0.146,-0.117
-1.071,-0.123,-0.123
-1.029,-0.074,-0.123
-0.950,-0.015,-0.121
-0.835,0.040,-0.112
-0.697,0.091,-0.094
-0.562,0.143,-0.077
-0.461,0.196,-0.079
-0.407,0.244,-0.109
-0.390,0.274,-0.150
-0.387,0.285,-0.175
-0.378,0.288,-0.163
-0.359,0.294,-0.123
-0.329,0.313,-0.081
-0.277,0.343,-0.054
-0.185,0.378,-0.040
-0.041,0.412,-0.023
0.143,0.440,0.011
0.340,0.455,0.059
0.513,0.455,0.105
0.639,0.448,0.136
0.708,0.445,0.146
0.733,0.453,0.144
0.732,0.463,0.146
0.728,0.460,0.163
0.739,0.439,0.197
0.778,0.412,0.239
0.851,0.398,0.279
0.958,0.402,0.305
1.088,0.415,0.306
1.223,0.417,0.279
1.338,0.407,0.234
1.420,0.390,0.184
1.464,0.378,0.144
1.472,0.367,0.114
1.447,0.354,0.084
1.397,0.342,0.054
1.337,0.339,0.034
1.287,0.345,0.039
1.262,0.349,0.072
1.264,0.343,0.112
1.283,0.332,0.137
1.305,0.335,0.133
1.324,0.360,0.105
1.342,0.391,0.069
1.366,0.401,0.032
1.403,0.379,-0.001
1.455,0.345,-0.030
1.516,0.326,-0.054
1.572,0.336,-0.071
1.613,0.356,-0.079
1.634,0.361,-0.073
1.641,0.334,-0.052
1.637,0.278,-0.015
1.619,0.202,0.024
1.579,0.118,0.048
1.518,0.030,0.051
1.451,-0.051,0.037
1.392,-0.120,0.023
1.341,-0.170,0.017
1.286,-0.208,0.017
1.204,-0.243,0.014
1.094,-0.276,0.003
0.966,-0.302,-0.012
0.844,-0.317,-0.030
0.744,-0.328,-0.044
0.675,-0.345,-0.047
0.630,-0.370,-0.035
0.594,-0.388,-0.011
0.549,-0.382,0.012
0.487,-0.350,0.023
0.407,-0.300,0.019
0.319,-0.249,0.009
0.231,-0.205,0.003
0.150,-0.169,0.002
0.082,-0.141,0.001
0.039,-0.123,-0.001
0.021,-0.113,-0.005
0.020,-0.105,-0.008
0.010,-0.095,-0.014
-0.028,-0.083,-0.026
